Vercel CLI 59.7.0 (Node.js 22.14.0)
Retrieving project…
> Environment Variables found for junkusanos-projects/famille-shift-matching [302ms]

 name                                                       value                       type      environments                        created     
 GITHUB_KNOWLEDGE_PRIVATE_KEY                               Hidden                      Secret    Production                          2d ago      
 GITHUB_KNOWLEDGE_INSTALLATION_ID                           Hidden                      Secret    Production                          2d ago      
 GITHUB_KNOWLEDGE_APP_ID                                    Hidden                      Secret    Production                          2d ago      
 KNOWLEDGE_TOKEN_ENCRYPTION_KEY                             Hidden                      Secret    Production                          3d ago      
 MF_CLIENT_SECRET                                           Hidden                      Secret    Production                          3d ago      
 MF_CLIENT_ID                                               eyJ2IjoidjIiLCJjIj…         Config    Production                          3d ago      
 MF_REDIRECT_URI                                            eyJ2IjoidjIiLCJjIj…         Config    Production                          3d ago      
 WORDPRESS_API_URL                                          Hidden                      Secret    Production                          5d ago      
 WORDPRESS_USERNAME                                         Hidden                      Secret    Production                          5d ago      
 WORDPRESS_APP_PASSWORD                                     Hidden                      Secret    Production                          5d ago      
 SHAREFULL_AUTO_POST_ENABLED                                eyJ2IjoidjIiLCJjIj…         Config    Production                          5d ago      
 GOOGLE_MAPS_API_KEY                                        eyJ2IjoidjIiLCJjIj…         Config    Production, Preview                 11d ago     
 CS_DOCS_GAS_GATEWAY_URL                                    eyJ2IjoidjIiLCJjIj…         Config    Production                          13d ago     
 Name                                                       Hidden                      Secret    Preview, Production                 18d ago     
 Value                                                      Hidden                      Secret    Preview, Production                 18d ago     
 Environment                                                Hidden                      Secret    Preview, Production                 18d ago     
 SMS_BUSINESS_NAME                                          Hidden                      Secret    Preview, Production                 25d ago     
 SMS_MAIN_PHONE                                             Hidden                      Secret    Production, Preview                 25d ago     
 NEXT_PUBLIC_SMS_BUSINESS_NAME                              Hidden                      Secret    Preview, Production                 25d ago     
 NEXT_PUBLIC_SMS_MAIN_PHONE                                 Hidden                      Secret    Preview, Production                 25d ago     
 GOOGLE_MAPS_GEOCODING_API_KEY                              Hidden                      Secret    Preview, Production                 26d ago     
 OPENAI_REASONING_CRITICAL                                  Hidden                      Secret    Preview, Production                 31d ago     
 OPENAI_MODEL_LIGHT                                         Hidden                      Secret    Preview, Production                 31d ago     
 OPENAI_MODEL_STANDARD                                      Hidden                      Secret    Preview, Production                 31d ago     
 OPENAI_MODEL_HEAVY                                         Hidden                      Secret    Preview, Production                 31d ago     
 OPENAI_MODEL_CRITICAL                                      Hidden                      Secret    Preview, Production                 31d ago     
 OPENAI_REASONING_LIGHT                                     Hidden                      Secret    Preview, Production                 31d ago     
 OPENAI_REASONING_STANDARD                                  Hidden                      Secret    Preview, Production                 31d ago     
